steam_appid,pc_requirements,mac_requirements,linux_requirements,minimum,recommended
1307890,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10 (64-Bit)<br></li><li><strong>Processor:</strong> Intel Core I5-2500K (3.30 GHz 4-Cores) or equivalent AMD-Hardware<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> Dedicated graphics card, GTX 750 Ti 2GB<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 5 GB available space<br></li><li><strong>Additional Notes:</strong> GPU must support Shader Model 5.0</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10 (64-Bit)<br></li><li><strong>Processor:</strong> Intel Core i7-7700k (4.2GHz 4 Cores) or equivalent AMD-Hardware<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> Dedicated graphics card, GTX 1660 6GB<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 10 GB available space<br></li><li><strong>Additional Notes:</strong> GPU must support Shader Model 5.0</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""></ul>'}","<strong></strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10 (64-Bit)<br></li><li><strong>Processor:</strong> Intel Core I5-2500K (3.30 GHz 4-Cores) or equivalent AMD-Hardware<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> Dedicated graphics card, GTX 750 Ti 2GB<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 5 GB available space<br></li><li><strong>Additional Notes:</strong> GPU must support Shader Model 5.0</li></ul>","<strong></strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10 (64-Bit)<br></li><li><strong>Processor:</strong> Intel Core i7-7700k (4.2GHz 4 Cores) or equivalent AMD-Hardware<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> Dedicated graphics card, GTX 1660 6GB<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 10 GB available space<br></li><li><strong>Additional Notes:</strong> GPU must support Shader Model 5.0</li></ul>"
223330,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong>XP<br>\t</li><li><strong>Processor:</strong> Intel Pentium IV or AMD Athlon 2.0 GHz<br>\t</li><li><strong>Memory:</strong>1024 MB RAM<br>\t</li><li><strong>Graphics:</strong>128 mb video card<br>\t</li><li><strong>DirectX®:</strong>9.0<br>\t</li><li><strong>Hard Drive:</strong>12 GB HD space<br>\t</li><li><strong>Additional:</strong> V-Sync must be enabled</li></ul>'}",[],[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong>XP<br>	</li><li><strong>Processor:</strong> Intel Pentium IV or AMD Athlon 2.0 GHz<br>	</li><li><strong>Memory:</strong>1024 MB RAM<br>	</li><li><strong>Graphics:</strong>128 mb video card<br>	</li><li><strong>DirectX®:</strong>9.0<br>	</li><li><strong>Hard Drive:</strong>12 GB HD space<br>	</li><li><strong>Additional:</strong> V-Sync must be enabled</li></ul>",
61500,"{'minimum': '<ul class=""bb_ul""><li><strong>OS:</strong> Windows<br>\t\t\t\t\t\t\t\t</li><li><strong>Processor:</strong> Intel Pentium 166+ CPU<br>\t\t\t\t\t\t\t\t</li><li><strong>Memory:</strong> 32MB RAM<br>\t\t\t\t\t\t\t\t</li><li><strong>Graphics:</strong> DirectX compatible graphic card<br>\t\t\t\t\t\t\t\t</li><li><strong>Hard Drive:</strong> 350MB hard disk<br>\t\t\t\t\t\t\t </li></ul>'}",[],[],"<ul class=""bb_ul""><li><strong>OS:</strong> Windows<br>								</li><li><strong>Processor:</strong> Intel Pentium 166+ CPU<br>								</li><li><strong>Memory:</strong> 32MB RAM<br>								</li><li><strong>Graphics:</strong> DirectX compatible graphic card<br>								</li><li><strong>Hard Drive:</strong> 350MB hard disk<br>							 </li></ul>",
241620,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows XP/Vista/7/8<br></li><li><strong>Processor:</strong> Single Core 1.6 GHz<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> 3D graphics card supporting DirectX with 64 MB of memory<br></li><li><strong>Storage:</strong> 2300 MB available space<br></li><li><strong>Sound Card:</strong> A compatible sound card</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows XP/Vista/7/8<br></li><li><strong>Processor:</strong> Dual Core 2 GHz<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> 3D graphics card supporting DirectX with 256 MB of memory<br></li><li><strong>Storage:</strong> 2300 MB available space<br></li><li><strong>Sound Card:</strong> A compatible sound card</li></ul>'}",[],[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows XP/Vista/7/8<br></li><li><strong>Processor:</strong> Single Core 1.6 GHz<br></li><li><strong>Memory:</strong> 512 MB RAM<br></li><li><strong>Graphics:</strong> 3D graphics card supporting DirectX with 64 MB of memory<br></li><li><strong>Storage:</strong> 2300 MB available space<br></li><li><strong>Sound Card:</strong> A compatible sound card</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows XP/Vista/7/8<br></li><li><strong>Processor:</strong> Dual Core 2 GHz<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> 3D graphics card supporting DirectX with 256 MB of memory<br></li><li><strong>Storage:</strong> 2300 MB available space<br></li><li><strong>Sound Card:</strong> A compatible sound card</li></ul>"
48110,"{'minimum': '<ul class=""bb_ul""><li><strong>OS *:</strong> Windows® XP (Service Pack 3), Windows Vista® (Service Pack 2)<br>\t\t\t\t\t\t\t\t\t</li><li><strong>Processor:</strong> Intel® Core™2 Duo E4400 2 GHz / AMD Athlon™ 64 X2 4000+ 2.1 GHz or higher (Intel Core™2 Quad Q6600 2.4 GHz / AMD Athlon 64 X2 5200+ 2.6 GHz or higher recommended)<br>\t\t\t\t\t\t\t\t\t</li><li><strong>Memory:</strong> 1 GB (Windows XP) / 2 GB (Windows Vista) (2 GB recommended)<br>\t\t\t\t\t\t\t\t\t</li><li><strong>Graphics:</strong> 512 MB DirectX® 9.0c-compliant video card(*see supported list)<br>\t\t\t\t\t\t\t\t\t</li><li><strong>DirectX®:</strong> <br>\t\t\t\t\t\t\t\t\t</li><li><strong>Hard Drive:</strong> 10 GB (15 GB recommended)<br>\t\t\t\t\t\t\t\t\t</li><li><strong>Sound:</strong> DirectX 9.0c-compliant sound card<br>\t\t\t\t\t\t\t\t\t</li><li><strong>Peripherals Supported:</strong> Windows-compliant mouse, keyboard<br>\t\t\t\t\t\t\t\t\t</li><li><strong>Internet Connection: </strong> 256 kbps Broadband connection (512 kbps connection or better recommended)<br>\t\t\t\t\t\t\t\t</li></ul>Supported Video Cards at Time of Release:<br><br>\t\t\t\t\t\t\t\tNVIDIA GeForce 8800GT / 9 / GTX 200 series<br><br>\t\t\t\t\t\t\t\tATI Radeon HD 2600 / HD 3000 / HD 4000 / HD 5000 series<br><br>\t\t\t\t\t\t\t\tNVIDIA SLI &amp; ATI Crossfire<br>Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS'}",[],[],"<ul class=""bb_ul""><li><strong>OS *:</strong> Windows® XP (Service Pack 3), Windows Vista® (Service Pack 2)<br>									</li><li><strong>Processor:</strong> Intel® Core™2 Duo E4400 2 GHz / AMD Athlon™ 64 X2 4000+ 2.1 GHz or higher (Intel Core™2 Quad Q6600 2.4 GHz / AMD Athlon 64 X2 5200+ 2.6 GHz or higher recommended)<br>									</li><li><strong>Memory:</strong> 1 GB (Windows XP) / 2 GB (Windows Vista) (2 GB recommended)<br>									</li><li><strong>Graphics:</strong> 512 MB DirectX® 9.0c-compliant video card(*see supported list)<br>									</li><li><strong>DirectX®:</strong> <br>									</li><li><strong>Hard Drive:</strong> 10 GB (15 GB recommended)<br>									</li><li><strong>Sound:</strong> DirectX 9.0c-compliant sound card<br>									</li><li><strong>Peripherals Supported:</strong> Windows-compliant mouse, keyboard<br>									</li><li><strong>Internet Connection: </strong> 256 kbps Broadband connection (512 kbps connection or better recommended)<br>								</li></ul>Supported Video Cards at Time of Release:<br><br>								NVIDIA GeForce 8800GT / 9 / GTX 200 series<br><br>								ATI Radeon HD 2600 / HD 3000 / HD 4000 / HD 5000 series<br><br>								NVIDIA SLI &amp; ATI Crossfire<br>Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS",
330390,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows 7 (64-bit Version)<br></li><li><strong>Processor:</strong> Intel Core2 Duo E6700<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> Nvidia GeForce GT 240<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 4 GB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10 (64-bit Version)<br></li><li><strong>Processor:</strong> Intel Pentium G4500<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> AMD Radeon HD 7570<br></li><li><strong>DirectX:</strong> Version 12<br></li><li><strong>Storage:</strong> 4 GB available space</li></ul>'}",[],[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows 7 (64-bit Version)<br></li><li><strong>Processor:</strong> Intel Core2 Duo E6700<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> Nvidia GeForce GT 240<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 4 GB available space</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10 (64-bit Version)<br></li><li><strong>Processor:</strong> Intel Pentium G4500<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> AMD Radeon HD 7570<br></li><li><strong>DirectX:</strong> Version 12<br></li><li><strong>Storage:</strong> 4 GB available space</li></ul>"
635320,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS *:</strong> Windows 7/8 (64-bit OS required)<br></li><li><strong>Processor:</strong> Intel Core i3 / AMD A6 @ 3.0GHz or higher<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> Nvidia GeForce 750Ti / AMD Radeon R9 270x or better<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Sound Card:</strong> 100% DirectX 9.0c compatible sound card</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10 (64-bit OS required)<br></li><li><strong>Processor:</strong> Intel Core i5 6400 or AMD A10 @ 2.7 GHz or higher<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> Nvidia GeForce GTX 970 / AMD R9 290 or better<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Sound Card:</strong> 100% DirectX 9.0c compatible sound card</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""></ul>'}","<strong></strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS *:</strong> Windows 7/8 (64-bit OS required)<br></li><li><strong>Processor:</strong> Intel Core i3 / AMD A6 @ 3.0GHz or higher<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> Nvidia GeForce 750Ti / AMD Radeon R9 270x or better<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Sound Card:</strong> 100% DirectX 9.0c compatible sound card</li></ul>","<strong></strong><br><ul class=""bb_ul""><li>Requires a 64-bit processor and operating system<br></li><li><strong>OS:</strong> Windows 10 (64-bit OS required)<br></li><li><strong>Processor:</strong> Intel Core i5 6400 or AMD A10 @ 2.7 GHz or higher<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> Nvidia GeForce GTX 970 / AMD R9 290 or better<br></li><li><strong>DirectX:</strong> Version 11<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Sound Card:</strong> 100% DirectX 9.0c compatible sound card</li></ul>"
1175460,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10 (version 1607 or better)<br></li><li><strong>Processor:</strong> 64bit 1.5 GHz CPU<br></li><li><strong>Memory:</strong> 2048 MB RAM<br></li><li><strong>Graphics:</strong> DirectX® 10 compliant graphics card and driver<br></li><li><strong>DirectX:</strong> Version 10<br></li><li><strong>Storage:</strong> 250 MB available space<br></li><li><strong>Sound Card:</strong> TBA<br></li><li><strong>Additional Notes:</strong> TBA</li></ul>'}",[],[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 10 (version 1607 or better)<br></li><li><strong>Processor:</strong> 64bit 1.5 GHz CPU<br></li><li><strong>Memory:</strong> 2048 MB RAM<br></li><li><strong>Graphics:</strong> DirectX® 10 compliant graphics card and driver<br></li><li><strong>DirectX:</strong> Version 10<br></li><li><strong>Storage:</strong> 250 MB available space<br></li><li><strong>Sound Card:</strong> TBA<br></li><li><strong>Additional Notes:</strong> TBA</li></ul>",
55000,"{'minimum': '<ul class=""bb_ul""><li><strong>Operating system:  </strong> Windows XP or newer<br></li><li><strong>Processor:  </strong> 1GHz<br></li><li><strong>Memory:  </strong> 1GB<br></li><li><strong>Hard disk space:  </strong> 50MB<br></li><li><strong>Video:  </strong> OpenGL 3.0 or above</li></ul>'}","{'minimum': '<ul class=""bb_ul""><li><strong>Operating system:  </strong> 10.9.5 Mavericks or newer<br></li><li><strong>Processor:  </strong> 1GHz<br></li><li><strong>Memory:  </strong> 1GB<br></li><li><strong>Hard disk space:  </strong> 50MB<br></li><li><strong>Video:  </strong> OpenGL 3.0 or above</li></ul>'}","{'minimum': '<ul class=""bb_ul""><li><strong>Operating system:  </strong> glibc 2.17+, 32/64-bit<br></li><li><strong>Processor:  </strong> 1GHz<br></li><li><strong>Memory:  </strong> 1GB<br></li><li><strong>Hard disk space:  </strong> 50MB<br></li><li><strong>Video:  </strong> OpenGL 3.0 or above</li></ul>'}","<ul class=""bb_ul""><li><strong>Operating system:  </strong> Windows XP or newer<br></li><li><strong>Processor:  </strong> 1GHz<br></li><li><strong>Memory:  </strong> 1GB<br></li><li><strong>Hard disk space:  </strong> 50MB<br></li><li><strong>Video:  </strong> OpenGL 3.0 or above</li></ul>",
61520,"{'minimum': '<ul class=""bb_ul""><li><strong>OS:</strong> Windows 95 or later<br>\t\t\t\t\t\t\t\t</li><li><strong>Processor:</strong> Intel Pentium 300+ CPU<br>\t\t\t\t\t\t\t\t</li><li><strong>Memory:</strong> 64MB RAM<br>\t\t\t\t\t\t\t\t</li><li><strong>Graphics:</strong> DirectX compatible graphic card<br>\t\t\t\t\t\t\t\t</li><li><strong>Hard Drive:</strong> 500MB hard disk<br>\t\t\t\t\t\t\t\t</li></ul>'}",[],[],"<ul class=""bb_ul""><li><strong>OS:</strong> Windows 95 or later<br>								</li><li><strong>Processor:</strong> Intel Pentium 300+ CPU<br>								</li><li><strong>Memory:</strong> 64MB RAM<br>								</li><li><strong>Graphics:</strong> DirectX compatible graphic card<br>								</li><li><strong>Hard Drive:</strong> 500MB hard disk<br>								</li></ul>",
307580,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows ME or higher<br></li><li><strong>Processor:</strong> Pentium or higher<br></li><li><strong>Memory:</strong> 64 MB RAM<br></li><li><strong>Graphics:</strong> 640x400, 32-bit colour: 700 Mhz system minimum<br></li><li><strong>DirectX:</strong> Version 5.2<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Sound Card:</strong> All DirectX-compatible sound cards</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows ME or higher<br></li><li><strong>Processor:</strong> Pentium or higher<br></li><li><strong>Memory:</strong> 64 MB RAM<br></li><li><strong>Graphics:</strong> 640x400, 32-bit colour: 700 Mhz system minimum<br></li><li><strong>DirectX:</strong> Version 5.2<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Sound Card:</strong> All DirectX-compatible sound cards</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> 10.11<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> 640x360, 1.8 Ghz system<br></li><li><strong>Storage:</strong> 2 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu, Debian - (64 bit/32 bit)<br></li><li><strong>Processor:</strong> 2.7 GHz Dual Core (and above, can run on single core)<br></li><li><strong>Memory:</strong> 1 GB RAM<br></li><li><strong>Graphics:</strong> OpenGL<br></li><li><strong>Storage:</strong> 2 GB available space<br></li><li><strong>Sound Card:</strong> Alsa/PulseAudio/DSP</li></ul>'}","<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows ME or higher<br></li><li><strong>Processor:</strong> Pentium or higher<br></li><li><strong>Memory:</strong> 64 MB RAM<br></li><li><strong>Graphics:</strong> 640x400, 32-bit colour: 700 Mhz system minimum<br></li><li><strong>DirectX:</strong> Version 5.2<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Sound Card:</strong> All DirectX-compatible sound cards</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows ME or higher<br></li><li><strong>Processor:</strong> Pentium or higher<br></li><li><strong>Memory:</strong> 64 MB RAM<br></li><li><strong>Graphics:</strong> 640x400, 32-bit colour: 700 Mhz system minimum<br></li><li><strong>DirectX:</strong> Version 5.2<br></li><li><strong>Storage:</strong> 3 GB available space<br></li><li><strong>Sound Card:</strong> All DirectX-compatible sound cards</li></ul>"
577230,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 7sp1 or Windows 10<br></li><li><strong>Processor:</strong> Intel Core2 Duo E6550 or AMD equivalent or above<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA Geforce GT440（512M）or AMD Radeon equivalent or above<br></li><li><strong>DirectX:</strong> Version 9.0<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 3 GB available space</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 7sp1 or Windows 10<br></li><li><strong>Processor:</strong> I3 or AMD equivalent or above<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA Geforce GTX560se or AMD Radeon equivalent or above<br></li><li><strong>DirectX:</strong> Version 9.0<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 3 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> macOS 10.14.4<br></li><li><strong>Processor:</strong> 2GHz Intel Core i5<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> 2GB Nvidia 680MX, 2GB AMD R9 M290, 1.5GB Intel Iris Graphics 540 or better (see notes for more details)<br></li><li><strong>Storage:</strong> 3 GB available space</li></ul>'}",[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 7sp1 or Windows 10<br></li><li><strong>Processor:</strong> Intel Core2 Duo E6550 or AMD equivalent or above<br></li><li><strong>Memory:</strong> 2 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA Geforce GT440（512M）or AMD Radeon equivalent or above<br></li><li><strong>DirectX:</strong> Version 9.0<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 3 GB available space</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Windows 7sp1 or Windows 10<br></li><li><strong>Processor:</strong> I3 or AMD equivalent or above<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> NVIDIA Geforce GTX560se or AMD Radeon equivalent or above<br></li><li><strong>DirectX:</strong> Version 9.0<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 3 GB available space</li></ul>"
61510,"{'minimum': '<ul class=""bb_ul""><li><strong>OS:</strong> Windows 95 or later<br>\t\t\t\t\t\t\t\t</li><li><strong>Processor:</strong> Intel Pentium 300+ CPU<br>\t\t\t\t\t\t\t\t</li><li><strong>Memory:</strong> 64MB RAM<br>\t\t\t\t\t\t\t\t</li><li><strong>Graphics:</strong> DirectX compatible graphic card<br>\t\t\t\t\t\t\t\t</li><li><strong>Hard Drive:</strong> 500MB hard disk<br>\t\t\t\t\t\t\t </li></ul>'}",[],[],"<ul class=""bb_ul""><li><strong>OS:</strong> Windows 95 or later<br>								</li><li><strong>Processor:</strong> Intel Pentium 300+ CPU<br>								</li><li><strong>Memory:</strong> 64MB RAM<br>								</li><li><strong>Graphics:</strong> DirectX compatible graphic card<br>								</li><li><strong>Hard Drive:</strong> 500MB hard disk<br>							 </li></ul>",
